Wall time,Step,Value
1771680910.5473742,6652000,-266.27850341796875
1771681064.1660528,6668000,-288.6416015625
1771681219.6007726,6684000,-296.05230712890625
1771681370.2979636,6700000,-276.15301513671875
1771681484.855071,6712000,-283.1994934082031
1771681561.5143778,6720000,-255.99899291992188
1771681793.6545513,6744000,-281.2117919921875
1771681832.9268358,6748000,-273.1105041503906
1771681871.874087,6752000,-269.66668701171875
1771681910.5342762,6756000,-268.7793884277344
1771682143.2350879,6780000,-279.22149658203125
1771682181.296969,6784000,-274.3710021972656
1771682451.164663,6812000,-265.82989501953125
1771682526.1870754,6820000,-276.96160888671875
1771682642.5805113,6832000,-279.35931396484375
1771682718.219989,6840000,-279.4577941894531
1771682755.1289296,6844000,-287.1849060058594
1771682793.4640164,6848000,-295.0841064453125
1771683062.699348,6876000,-259.16339111328125
1771683216.3095622,6892000,-257.1083984375
1771683255.1979392,6896000,-254.07879638671875
1771683333.1512496,6904000,-263.0928955078125
1771683522.1685672,6924000,-261.76300048828125
1771683828.766422,6956000,-263.31298828125
1771683867.6323175,6960000,-262.0071105957031
1771684020.4947314,6976000,-272.0848083496094
1771684098.9556375,6984000,-268.06689453125
1771684404.3201818,7016000,-273.0198974609375
1771684443.1307797,7020000,-272.6556091308594
1771684867.5200493,7064000,-256.0502014160156
1771685249.8498623,7104000,-260.39630126953125
1771685326.2540638,7112000,-256.9361877441406
1771685441.4537091,7124000,-257.0592956542969
1771685596.6836698,7140000,-254.9969940185547
1771685637.7643712,7144000,-246.63209533691406
1771685675.1126213,7148000,-248.5364990234375
1771685791.9017463,7160000,-259.2192077636719
1771685907.668438,7172000,-261.4591064453125
1771686061.464212,7188000,-238.22579956054688
1771686217.0730698,7204000,-261.6138916015625
1771686952.721741,7280000,-251.02349853515625
1771687106.9465904,7296000,-231.1990966796875
1771687260.8622746,7312000,-216.67559814453125
1771687375.1636052,7324000,-239.2001953125
1771687451.5326428,7332000,-246.81649780273438
1771687605.3889623,7348000,-239.39540100097656
1771687681.5395122,7356000,-241.1208953857422
1771688024.2094574,7392000,-254.61940002441406
1771688178.0697722,7408000,-228.84820556640625
1771688529.9307964,7444000,-230.87640380859375
1771688719.3050268,7464000,-222.99380493164062
1771688759.6153908,7468000,-214.86669921875
1771688797.415002,7472000,-213.44369506835938
1771689299.6868227,7524000,-224.49119567871094
1771689415.8400693,7536000,-226.09829711914062
1771689533.296559,7548000,-230.0054931640625
1771689610.2458735,7556000,-236.77450561523438
1771689879.8985753,7584000,-223.42599487304688
1771690034.4925609,7600000,-217.6696014404297
1771690149.6542542,7612000,-232.74789428710938
1771690382.803891,7636000,-214.2333984375
1771690422.671691,7640000,-215.53919982910156
1771690460.586255,7644000,-213.54209899902344
1771690576.9238887,7656000,-237.62120056152344
1771690771.9222202,7676000,-220.70620727539062
1771691004.138372,7700000,-214.3135986328125
1771691042.996391,7704000,-204.5019073486328
1771691431.5770292,7744000,-198.7738037109375
1771691470.5871294,7748000,-200.8881072998047
1771691626.3120663,7764000,-222.98109436035156
1771691663.7387598,7768000,-214.46240234375
1771691819.988484,7784000,-212.1905059814453
1771691896.638063,7792000,-202.8809051513672
1771692128.7485878,7816000,-216.3166046142578
1771692244.9765441,7828000,-213.3695068359375
1771692400.0532203,7844000,-207.42640686035156
1771692437.7106745,7848000,-206.20689392089844
1771692514.430423,7856000,-210.0279998779297
1771692551.6442223,7860000,-206.4232940673828
1771692629.2056735,7868000,-194.8979034423828
1771693056.692314,7912000,-190.7082977294922
1771693135.5776544,7920000,-187.69679260253906
1771693446.0094817,7952000,-205.0825958251953
1771693486.0568435,7956000,-214.46580505371094
1771693604.142151,7968000,-209.00999450683594
1771694754.588369,8088000,-199.1746063232422
1771694949.4339073,8108000,-197.44650268554688
1771695295.5603929,8144000,-187.4503936767578
1771695333.7273614,8148000,-182.45449829101562
1771695603.733303,8176000,-191.80979919433594
1771695759.30518,8192000,-195.6887969970703
1771696028.7609766,8220000,-197.5782928466797
1771696067.641865,8224000,-196.52450561523438
1771696525.703428,8272000,-176.15859985351562
1771696639.9083095,8284000,-189.0279998779297
1771696988.8481014,8320000,-196.35879516601562
1771697297.885192,8352000,-176.55889892578125
1771697375.6547804,8360000,-188.6678924560547
1771697688.8450313,8392000,-187.97120666503906
1771697728.014511,8396000,-183.2534942626953
1771697803.6875992,8404000,-178.78680419921875
1771697916.0314457,8416000,-181.71490478515625
1771697993.4185073,8424000,-182.74200439453125
1771698149.8114169,8440000,-185.74290466308594
1771698189.6187859,8444000,-181.9279022216797
1771698343.6910877,8460000,-194.7678985595703
1771698383.4531128,8464000,-193.7091064453125
1771698537.078299,8480000,-182.31170654296875
1771698575.363906,8484000,-183.6945037841797
1771698688.503007,8496000,-179.85130310058594
1771698726.0053122,8500000,-171.10470581054688
1771698843.0467825,8512000,-176.2006072998047
1771699191.651432,8548000,-188.76089477539062
1771699311.036138,8560000,-181.93609619140625
1771699702.3306537,8600000,-175.81959533691406
1771700089.997787,8640000,-169.42630004882812
1771700204.9405293,8652000,-156.1132049560547
1771700477.7780964,8680000,-171.0189971923828
1771700747.474071,8708000,-167.3177032470703
1771701175.579252,8752000,-178.03250122070312
1771701254.6271908,8760000,-183.40269470214844
1771701447.2322633,8780000,-165.18429565429688
1771701640.2684324,8800000,-169.95469665527344
1771701713.8823867,8808000,-171.73019409179688
1771701789.7436662,8816000,-164.8654022216797
1771702022.813275,8840000,-164.31069946289062
1771702100.3870025,8848000,-175.6239013671875
1771702215.5218527,8860000,-178.99139404296875
1771702256.5593998,8864000,-171.87249755859375
1771702488.6611145,8888000,-165.53860473632812
1771702646.2199032,8904000,-169.0471954345703
1771703071.8526363,8948000,-161.51519775390625
1771703189.1468244,8960000,-146.1667022705078
1771703383.395996,8980000,-150.73060607910156
1771703889.7047067,9032000,-158.13929748535156
1771704162.7858515,9060000,-155.9626007080078
1771704280.0565243,9072000,-155.02960205078125
1771704820.790913,9128000,-154.47169494628906
1771705243.688193,9172000,-152.39410400390625
1771705554.8977795,9204000,-142.40170288085938
1771705747.1528552,9224000,-134.77450561523438
1771705784.71954,9228000,-133.2346954345703
1771705976.938354,9248000,-145.3300018310547
1771706171.9698236,9268000,-143.52999877929688
1771706290.4348338,9280000,-146.15240478515625
1771706485.3890638,9300000,-138.0614013671875
1771706798.1231582,9332000,-143.3979034423828
1771706914.9605198,9344000,-139.09750366210938
1771707186.399027,9372000,-156.56649780273438
1771707226.478059,9376000,-154.42799377441406
1771707265.4960556,9380000,-151.60879516601562
1771707341.4786522,9388000,-142.4093017578125
1771707575.7354226,9412000,-127.15709686279297
1771707770.7001562,9432000,-148.0718994140625
1771707849.2031362,9440000,-146.4989013671875
1771708394.454089,9496000,-147.01699829101562
1771708823.0746343,9540000,-145.1645965576172
1771709016.052843,9560000,-134.82080078125
1771709093.7869487,9568000,-138.00070190429688
1771709173.080439,9576000,-135.35850524902344
1771709212.2208166,9580000,-136.1873016357422
1771709327.2595923,9592000,-133.0460968017578
1771709363.264085,9596000,-138.90859985351562
1771710535.9078367,9716000,-136.61790466308594
1771710651.9042945,9728000,-134.07359313964844
1771710807.8543837,9744000,-126.81439971923828
1771710846.377869,9748000,-135.33619689941406
1771711039.5568326,9768000,-119.04170227050781
1771711078.4348097,9772000,-119.85330200195312
1771711545.8572025,9820000,-119.00779724121094
1771711854.9874873,9852000,-129.31959533691406
1771711931.0961633,9860000,-134.46380615234375
1771711970.927194,9864000,-134.2613067626953
1771712125.8391888,9880000,-120.72940063476562
1771712281.114026,9896000,-115.2426986694336
1771712438.8756313,9912000,-117.01640319824219
1771712746.9031239,9944000,-123.77330017089844
1771712902.3707216,9960000,-108.35900115966797
1771713059.7353506,9976000,-123.53700256347656
1771713255.1579084,9996000,-120.58869934082031
1771713334.2614567,10004000,-125.8958969116211
1771713450.4919856,10016000,-120.06420135498047
1771713527.7833655,10024000,-122.05799865722656
1771713566.3480008,10028000,-126.2030029296875
1771713642.331456,10036000,-122.19309997558594
1771713835.730836,10056000,-119.95040130615234
1771713993.4590771,10072000,-119.77439880371094
1771714029.7892718,10076000,-123.08180236816406
1771714070.0734155,10080000,-123.77140045166016
1771714147.6763592,10088000,-127.52239990234375
1771714225.251837,10096000,-124.0791015625
1771714422.7714329,10116000,-114.6532974243164
1771714500.767394,10124000,-115.4832992553711
1771714814.7763538,10156000,-126.89019775390625
1771715006.4945471,10176000,-116.02369689941406
1771715861.3415108,10264000,-119.05229949951172
1771715900.1335416,10268000,-116.80120086669922
1771715977.6792397,10276000,-115.44889831542969
1771716249.9938138,10304000,-114.09760284423828
1771716325.81241,10312000,-114.39839935302734
1771716363.744006,10316000,-119.14679718017578
1771716558.8105924,10336000,-119.40560150146484
1771716598.7804275,10340000,-115.52169799804688
1771716636.1054745,10344000,-117.22969818115234
1771716753.9325745,10356000,-103.38710021972656
1771716793.7958937,10360000,-100.70570373535156
1771716908.4298213,10372000,-103.26799774169922
1771717180.8169343,10400000,-121.11000061035156
1771717258.4982498,10408000,-122.64469909667969
1771717451.1721601,10428000,-120.67649841308594
1771717882.815876,10472000,-101.8218002319336
1771717918.839361,10476000,-100.89520263671875
1771717959.1548436,10480000,-100.2780990600586
1771718271.42494,10512000,-108.44860076904297
1771718310.9997041,10516000,-107.40550231933594
1771718502.660226,10536000,-111.13960266113281
1771718542.9132295,10540000,-110.93930053710938
1771718582.1181378,10544000,-111.59249877929688
1771718621.073299,10548000,-113.83660125732422
1771718699.7633805,10556000,-117.81739807128906
1771718736.9740276,10560000,-121.05500030517578
1771718777.0216656,10564000,-124.03089904785156
1771718895.2245219,10576000,-102.66380310058594
1771719557.185343,10644000,-97.4397964477539
1771719635.0341895,10652000,-93.14739990234375
1771719943.1744397,10684000,-100.7969970703125
1771719979.9940639,10688000,-104.27169799804688
1771720019.7068992,10692000,-105.5730972290039
1771720097.1134958,10700000,-104.33550262451172
1771720372.5440953,10728000,-102.72579956054688
1771720489.4260743,10740000,-104.3998031616211
1771720566.7145905,10748000,-101.6104965209961
1771720686.3206658,10760000,-104.35479736328125
1771720763.2354941,10768000,-98.48619842529297
1771720842.2402103,10776000,-105.93800354003906
1771721190.9816859,10812000,-109.66940307617188
1771721342.9148624,10828000,-103.01119995117188
1771721420.9429998,10836000,-94.6980972290039
1771721578.8565784,10852000,-96.42510223388672
1771721617.8996792,10856000,-103.71070098876953
1771721775.8043413,10872000,-102.71170043945312
1771721813.4537568,10876000,-99.69249725341797
1771721853.5502243,10880000,-96.98310089111328
1771722046.2119608,10900000,-93.9083023071289
1771722241.7994409,10920000,-101.58390045166016
1771722281.5461469,10924000,-96.3239974975586
1771722436.1311047,10940000,-98.91089630126953
1771722633.6559289,10960000,-100.3584976196289
1771722672.0220187,10964000,-101.86039733886719
1771722711.037143,10968000,-106.21430206298828
1771722826.3010187,10980000,-105.17659759521484
1771722863.7375307,10984000,-102.19740295410156
1771723170.026431,11016000,-101.31770324707031
1771723208.9563792,11020000,-100.00489807128906
1771723247.5106466,11024000,-98.52960205078125
1771723442.3906975,11044000,-103.72769927978516
