trans_idx,has_right_lane,has_left_lane,driving_in_weaving,dist_to_onramp,dist_to_offramp,leader_gap,leader_relatif_s,follower_gap,follower_relatif_s,left_leader_gap,left_leader_relatif_s,left_follower_gap,left_follower_relatif_s,right_leader_gap,right_leader_relatif_s,right_follower_gap,right_follower_relatif_s,action,reward,done,next_has_right_lane,next_has_left_lane,next_driving_in_weaving,next_dist_to_onramp,next_dist_to_offramp,next_leader_gap,next_leader_relatif_s,next_follower_gap,next_follower_relatif_s,next_left_leader_gap,next_left_leader_relatif_s,next_left_follower_gap,next_left_follower_relatif_s,next_right_leader_gap,next_right_leader_relatif_s,next_right_follower_gap,next_right_follower_relatif_s
10029795,1.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.72,0.13,0,-0.97,False,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.76,0.12,-2.0,-2.0,-2.0,-2.0,0.3,0.12,-0.02,0.17
10029796,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.01,0.34,0.02,-2.0,-2.0,-2.0,-2.0,0.23,0.1,0.4,0.02,1,-0.18,False,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.01,0.34,0.02,-2.0,-2.0,-2.0,-2.0,0.2,0.08,0.41,0.02
10029798,1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.36,0.05,-2.0,-2.0,0.66,0.06,0.08,0.1,1,-0.1,False,1.0,1.0,0.0,-2.0,-2.0,0.66,0.02,-2.0,-2.0,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.09,0.05
10029799,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.76,0.12,-2.0,-2.0,-2.0,-2.0,0.3,0.12,-0.02,0.17,1,0.03,False,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.8,0.11,-2.0,-2.0,-2.0,-2.0,0.26,0.12,0.03,0.16
10029800,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.01,0.34,0.02,-2.0,-2.0,-2.0,-2.0,0.2,0.08,0.41,0.02,1,-0.18,False,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.18,0.07,0.41,0.02
10029803,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.8,0.11,-2.0,-2.0,-2.0,-2.0,0.26,0.12,0.03,0.16,1,0.03,False,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.83,0.11,-2.0,-2.0,-2.0,-2.0,0.22,0.12,0.08,0.16
10029804,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.18,0.07,0.41,0.02,1,-0.18,False,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.0,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.16,0.05,0.42,0.01
10029807,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.83,0.11,-2.0,-2.0,-2.0,-2.0,0.22,0.12,0.08,0.16,1,0.02,False,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.87,0.1,-2.0,-2.0,-2.0,-2.0,0.18,0.13,0.13,0.15
10029808,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.0,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.16,0.05,0.42,0.01,1,-0.18,False,1.0,0.0,1.0,-2.0,-2.0,0.5,-0.0,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.15,0.04,0.42,0.01
10029811,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.87,0.1,-2.0,-2.0,-2.0,-2.0,0.18,0.13,0.13,0.15,1,0.02,False,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,0.9,0.09,-2.0,-2.0,-2.0,-2.0,0.14,0.13,0.18,0.14
